company_key,Company Name,Company Website,Company LinkedIn,Company Industry,Company Country,lead_count
locusrobotics.com,Locus Robotics,locusrobotics.com,https://www.linkedin.com/company/locus-robotics,automation machinery manufacturing,United States,2
pansophiclearning.com,Pansophic Learning,pansophiclearning.com,https://www.linkedin.com/company/pansophic-learning,education administration programs,United States,2
milsoft.com,Milsoft Utility Solutions,milsoft.com,https://www.linkedin.com/company/milsoft-utility-solutions,software development,United States,2
legalontech.com,LegalOn Technologies,legalontech.com,https://www.linkedin.com/company/legalon-technologies,software development,United States,1
accel.com,Accel,accel.com,https://www.linkedin.com/company/accel-vc,venture capital and private equity principals,United States,1
ezoic.com,Ezoic,ezoic.com,https://www.linkedin.com/company/ezoic-inc-,software development,United States,1
currenthealth.com,Current Health,currenthealth.com,https://www.linkedin.com/company/currenthealth,hospitals and health care,United States,1
infragistics.com,Infragistics,infragistics.com,https://www.linkedin.com/company/infragistics,software development,United States,3
progleasing.com,Progressive Leasing,progleasing.com,https://www.linkedin.com/company/progressive-leasing,financial services,United States,1
dotmatics.com,Dotmatics,dotmatics.com,https://www.linkedin.com/company/dotmatics,software development,United States,2
jobnimbus.com,JobNimbus,jobnimbus.com,https://www.linkedin.com/company/jobnimbus,software development,United States,1
unframe.ai,Unframe,unframe.ai,https://www.linkedin.com/company/unframe-ai,software development,United States,2
gc.com,GameChanger,gc.com,https://www.linkedin.com/company/gamechangermedia,software development,United States,3
flysfo.com,San Francisco International Airport,flysfo.com,https://www.linkedin.com/company/flysfo,airlines and aviation,United States,2
carestreamdental.com,Carestream Dental,carestreamdental.com,https://www.linkedin.com/company/carestream-dental,medical equipment manufacturing,United States,4
motoman.com,Yaskawa Motoman,motoman.com,https://www.linkedin.com/company/motoman,automation machinery manufacturing,United States,1
figma.com,Figma,figma.com,https://www.linkedin.com/company/figma,design services,United States,9
bushelpowered.com,Bushel,bushelpowered.com,https://www.linkedin.com/company/bushelpowered,software development,United States,1
arcesium.com,Arcesium,arcesium.com,https://www.linkedin.com/company/arcesium,software development,United States,1
certinia.com,Certinia,certinia.com,https://www.linkedin.com/company/certinia,software development,United States,3
le-intl.com,"L&E International, Ltd.",le-intl.com,https://www.linkedin.com/company/l&e-international,packaging and containers manufacturing,United States,1
contractornation.com,Contractor Nation,contractornation.com,https://www.linkedin.com/company/contractor-nation,professional training and coaching,United States,1
linklive.ai,LinkLive,linklive.ai,https://www.linkedin.com/company/linkliveai,software development,United States,1
foreupgolf.com,foreUP Golf,foreupgolf.com,https://www.linkedin.com/company/foreup,software development,United States,1
qlik.com,Qlik,qlik.com,https://www.linkedin.com/company/qlik,software development,United States,3
moloco.com,Moloco,moloco.com,https://www.linkedin.com/company/moloco,advertising services,United States,3
checkbox.ai,Checkbox,checkbox.ai,https://www.linkedin.com/company/checkboxai,software development,United States,2
epectec.com,Epec Engineered Technologies,epectec.com,https://www.linkedin.com/company/epec-engineered-technologies,"appliances, electrical, and electronics manufacturing",United States,1
aptos.com,Aptos Retail,aptos.com,https://www.linkedin.com/company/aptos-retail,software development,United States,1
cotacapital.com,Cota Capital,cotacapital.com,https://www.linkedin.com/company/cota-capital,venture capital and private equity principals,United States,1
eventeny.com,Eventeny,eventeny.com,https://www.linkedin.com/company/eventeny,software development,United States,1
passtimegps.com,PassTime,passtimegps.com,https://www.linkedin.com/company/passtime,software development,United States,1
flow3d.com,FLOW-3D,flow3d.com,https://www.linkedin.com/company/flow3d,software development,United States,1
buildertrend.com,Buildertrend,buildertrend.com,https://www.linkedin.com/company/buildertrend,software development,United States,2
together.ai,Together AI,together.ai,https://www.linkedin.com/company/togethercomputer,software development,United States,3
aioapp.com,AIO,http://www.aioapp.com,https://www.linkedin.com/company/aioappofficial,software development,United States,1
abridge.com,Abridge,abridge.com,https://www.linkedin.com/company/abridgehq,hospitals and health care,United States,3
cmtsllc.com,CMTS LLC,cmtsllc.com,https://www.linkedin.com/company/cmts-llc,construction,United States,1
zultys.com,Zultys,zultys.com,https://www.linkedin.com/company/zultys-inc,telecommunications,United States,1
ipsy.com,IPSY,ipsy.com,https://www.linkedin.com/company/ipsy,consumer services,United States,4
sift.com,Sift,sift.com,https://www.linkedin.com/company/getsift,computer and network security,United States,2
joinluminous.com,Luminous,joinluminous.com,https://www.linkedin.com/company/joinluminous,software development,United States,1
miro.com,Miro,miro.com,https://www.linkedin.com/company/mirohq,software development,United States,4
outlier.bet,Outlier,outlier.bet,https://www.linkedin.com/company/outlierdotbet,spectator sports,United States,1
washingtonwaldorf.org,Washington Waldorf School,washingtonwaldorf.org,https://www.linkedin.com/school/washington-waldorf-school,primary and secondary education,United States,1
srsacquiom.com,SRS Acquiom,srsacquiom.com,https://www.linkedin.com/company/srsacquiom,financial services,United States,2
ubiehealth.com,Ubie,ubiehealth.com,https://www.linkedin.com/company/ubie-inc,software development,United States,2
dfinsolutions.com,Donnelley Financial Solutions (DFIN),dfinsolutions.com,https://www.linkedin.com/company/dfinsolutions,financial services,United States,1
flyerft.com,Flyer Financial Technologies,flyerft.com,https://www.linkedin.com/company/flyerft,financial services,United States,1
n-able.com,N-able,n-able.com,https://www.linkedin.com/company/n-able,computer and network security,United States,4
drata.com,Drata,drata.com,https://www.linkedin.com/company/drata,software development,United States,1
gotab.com,GoTab,gotab.com,https://www.linkedin.com/company/gotab,hospitality,United States,1
symmetry.com,Symmetry,symmetry.com,https://www.linkedin.com/company/symmetry-software,software development,United States,1
sightcall.com,SightCall,sightcall.com,https://www.linkedin.com/company/sightcall,software development,United States,1
mescius.com,"MESCIUS USA, Inc.",mescius.com,https://www.linkedin.com/company/mesciususa,software development,United States,1
teamworkcommerce.com,Teamwork Commerce,teamworkcommerce.com,https://www.linkedin.com/company/teamwork-commerce,retail,United States,1
reged.com,RegEd,reged.com,https://www.linkedin.com/company/reged,financial services,United States,1
mcachicago.org,Museum of Contemporary Art Chicago,mcachicago.org,https://www.linkedin.com/company/mcachicago,"museums, historical sites, and zoos",United States,2
plexishealth.com,PLEXIS Healthcare Systems,plexishealth.com,https://www.linkedin.com/company/plexishealth,software development,United States,1
tiburoninc.com,TriTech Acquires Tiburon,tiburoninc.com,https://www.linkedin.com/company/tiburon,public safety,United States,1
distyl.ai,Distyl,distyl.ai,https://www.linkedin.com/company/distylai,software development,United States,1
nstxl.org,NSTXL (National Security Technology Accelerator),nstxl.org,https://www.linkedin.com/company/national-security-technology-accelerator,defense and space manufacturing,United States,3
emaxxgroup.com,"eMaxx Assurance Group of Companies, Inc.",emaxxgroup.com,https://www.linkedin.com/company/emaxx-assurance-group-of-companies-inc,insurance,United States,1
vagaro.com,Vagaro,vagaro.com,https://www.linkedin.com/company/vagaro,software development,United States,3
medidata.com,Medidata Solutions,medidata.com,https://www.linkedin.com/company/medidata-solutions,software development,United States,2
acadian-asset.com,Acadian Asset Management,acadian-asset.com,https://www.linkedin.com/company/acadian-asset-management,financial services,United States,2
optimizely.com,Optimizely,optimizely.com,https://www.linkedin.com/company/optimizely,software development,United States,2
ozmo.com,Ozmo,ozmo.com,https://www.linkedin.com/company/ozmo-inc,software development,United States,2
blockrenovation.com,Block Renovation,blockrenovation.com,https://www.linkedin.com/company/blockrenovation,software development,United States,2
apollointelligence.net,Konovo,apollointelligence.net,https://www.linkedin.com/company/hello-konovo,market research,United States,1
proshipinc.com,"ProShip, Inc.",proshipinc.com,https://www.linkedin.com/company/proship-inc-,truck transportation,United States,2
cornerstoneondemand.com,Cornerstone OnDemand,cornerstoneondemand.com,https://www.linkedin.com/company/cornerstoneondemand,software development,United States,2
designreadycontrols.com,Design Ready Controls,designreadycontrols.com,https://www.linkedin.com/company/design-ready-controls,"appliances, electrical, and electronics manufacturing",United States,1
rwmloans.com,RWM Home Loans,rwmloans.com,https://www.linkedin.com/company/rwmhomeloans,banking,United States,1
stage2.capital,Stage 2 Capital,stage2.capital,https://www.linkedin.com/company/stage-2-capital,venture capital and private equity principals,United States,1
networkworld.com,Network World,networkworld.com,https://www.linkedin.com/company/network-world,software development,United States,1
anyscale.com,Anyscale,anyscale.com,https://www.linkedin.com/company/joinanyscale,software development,United States,2
fandom.com,Fandom,fandom.com,https://www.linkedin.com/company/fandomwikia,software development,United States,1
savant.com,Savant Systems,savant.com,https://www.linkedin.com/company/savant-systems,computers and electronics manufacturing,United States,2
vannevarlabs.com,Vannevar,vannevarlabs.com,https://www.linkedin.com/company/vannevar-labs,defense and space manufacturing,United States,1
payentry.com,Payentry,payentry.com,https://www.linkedin.com/company/payentryservices,software development,United States,1
bigbear.ai,BigBear.ai,bigbear.ai,https://www.linkedin.com/company/bigbearai,software development,United States,1
sourceintelligence.com,Source Intelligence,sourceintelligence.com,https://www.linkedin.com/company/source-intelligence,software development,United States,1
connectm.com,ConnectM Technology Solutions,connectm.com,https://www.linkedin.com/company/connectm-technology-solutions,software development,United States,1
envu.com,Envu,envu.com,https://www.linkedin.com/company/envu,chemical manufacturing,United States,3
myhaus.com,Hausmann Group,myhaus.com,https://www.linkedin.com/company/hausmann-group,insurance,United States,1
turnriver.com,Turn/River Capital,turnriver.com,https://www.linkedin.com/company/turn-river-capital,venture capital and private equity principals,United States,3
optimalblue.com,Optimal Blue,optimalblue.com,https://www.linkedin.com/company/optimal-blue,financial services,United States,1
siteimprove.com,Siteimprove,siteimprove.com,https://www.linkedin.com/company/siteimprove,software development,United States,4
treatmyocd.com,NOCD,treatmyocd.com,https://www.linkedin.com/company/nocd,mental health care,United States,1
safe-guardproducts.com,Safe-Guard Products International,safe-guardproducts.com,https://www.linkedin.com/company/safe-guard-products,financial services,United States,1
simulationiq.com,Education Management Solutions (EMS),simulationiq.com,https://www.linkedin.com/company/education-management-solutions,software development,United States,1
matik.io,Matik,matik.io,https://www.linkedin.com/company/matik-inc,software development,United States,1
box.com,Box,box.com,https://www.linkedin.com/company/box,software development,United States,7
trustcloud.ai,TrustCloud,trustcloud.ai,https://www.linkedin.com/company/trustcloudai,computer and network security,United States,1
bocada.com,Bocada,bocada.com,https://www.linkedin.com/company/bocada,software development,United States,1
